time,t2m [degree Celsius],rh2m [%],u10m [m s-1],v10m [m s-1],grad [Ws m-2],lat,lon
2026-01-22T00:00+00:00,-3.9,46.38,1.2,2.5,8851064.3,46.92300000000015,10.481999999999925
2026-01-22T01:00+00:00,-4.1,46.85,1.2,2.2,8851064.3,46.92300000000015,10.481999999999925
2026-01-22T02:00+00:00,-4.4,45.04,1.4,2.0,8851064.3,46.92300000000015,10.481999999999925
2026-01-22T03:00+00:00,-4.4,41.91,1.5,1.5,8851064.3,46.92300000000015,10.481999999999925
2026-01-22T04:00+00:00,-4.5,39.99,1.6,1.1,8851064.3,46.92300000000015,10.481999999999925
2026-01-22T05:00+00:00,-4.6,37.09,1.5,0.6,8851064.3,46.92300000000015,10.481999999999925
2026-01-22T06:00+00:00,-4.3,35.4,1.5,1.0,8851064.3,46.92300000000015,10.481999999999925
2026-01-22T07:00+00:00,-5.0,36.91,1.4,0.7,8851064.3,46.92300000000015,10.481999999999925
2026-01-22T08:00+00:00,-4.1,33.63,1.4,0.8,9115399.4,46.92300000000015,10.481999999999925
2026-01-22T09:00+00:00,-2.7,32.88,1.0,0.9,10234823.4,46.92300000000015,10.481999999999925
2026-01-22T10:00+00:00,-1.3,41.61,0.5,1.3,11753630.1,46.92300000000015,10.481999999999925
2026-01-22T11:00+00:00,0.0,44.64,0.3,1.5,13437566.2,46.92300000000015,10.481999999999925
2026-01-22T12:00+00:00,0.7,42.32,0.3,1.4,15047258.2,46.92300000000015,10.481999999999925
2026-01-22T13:00+00:00,1.3,34.69,0.3,1.1,16392615.0,46.92300000000015,10.481999999999925
2026-01-22T14:00+00:00,1.2,34.68,0.5,0.6,17261144.6,46.92300000000015,10.481999999999925
2026-01-22T15:00+00:00,0.7,33.65,0.7,-0.2,17781494.3,46.92300000000015,10.481999999999925
2026-01-22T16:00+00:00,-1.5,37.36,0.8,-0.5,17961984.6,46.92300000000015,10.481999999999925
2026-01-22T17:00+00:00,-4.4,53.87,0.9,-0.7,17961984.6,46.92300000000015,10.481999999999925
2026-01-22T18:00+00:00,-5.6,57.1,1.0,-0.6,17961984.6,46.92300000000015,10.481999999999925
2026-01-22T19:00+00:00,-6.1,56.85,1.0,-0.4,17961984.6,46.92300000000015,10.481999999999925
2026-01-22T20:00+00:00,-6.2,57.67,1.2,-0.4,17961984.6,46.92300000000015,10.481999999999925
2026-01-22T21:00+00:00,-5.9,56.31,1.3,-0.3,17961984.6,46.92300000000015,10.481999999999925
2026-01-22T22:00+00:00,-5.6,52.42,1.3,-0.2,17961984.6,46.92300000000015,10.481999999999925
2026-01-22T23:00+00:00,-5.6,48.76,1.2,-0.2,17961984.6,46.92300000000015,10.481999999999925
2026-01-23T00:00+00:00,-4.5,41.72,1.4,0.2,17961984.6,46.92300000000015,10.481999999999925
2026-01-23T01:00+00:00,-4.3,40.2,1.3,0.8,17961984.6,46.92300000000015,10.481999999999925
2026-01-23T02:00+00:00,-4.3,41.14,1.4,1.1,17961984.6,46.92300000000015,10.481999999999925
2026-01-23T03:00+00:00,-4.2,43.22,1.3,1.1,17961984.6,46.92300000000015,10.481999999999925
2026-01-23T04:00+00:00,-4.3,46.52,1.3,1.2,17961984.6,46.92300000000015,10.481999999999925
2026-01-23T05:00+00:00,-4.2,49.38,1.3,1.4,17961984.6,46.92300000000015,10.481999999999925
2026-01-23T06:00+00:00,-3.9,51.94,1.2,1.8,17961984.6,46.92300000000015,10.481999999999925
2026-01-23T07:00+00:00,-3.7,52.94,0.8,2.5,17962624.6,46.92300000000015,10.481999999999925
2026-01-23T08:00+00:00,-3.6,62.63,0.8,2.5,18156555.7,46.92300000000015,10.481999999999925
2026-01-23T09:00+00:00,-2.6,61.44,0.3,2.6,18915639.1,46.92300000000015,10.481999999999925
2026-01-23T10:00+00:00,-1.5,59.92,-0.4,3.6,20330119.8,46.92300000000015,10.481999999999925
2026-01-23T11:00+00:00,-0.6,57.15,-0.2,4.0,21967333.3,46.92300000000015,10.481999999999925
2026-01-23T12:00+00:00,-0.3,55.93,-0.4,4.1,23544383.4,46.92300000000015,10.481999999999925
2026-01-23T13:00+00:00,-0.2,55.55,-0.6,3.7,24839177.3,46.92300000000015,10.481999999999925
2026-01-23T14:00+00:00,-0.2,57.01,-0.3,3.8,25715387.3,46.92300000000015,10.481999999999925
2026-01-23T15:00+00:00,-0.6,60.53,0.2,3.3,26256858.3,46.92300000000015,10.481999999999925
2026-01-23T16:00+00:00,-1.2,65.25,0.7,2.7,26444389.0,46.92300000000015,10.481999999999925
2026-01-23T17:00+00:00,-2.1,72.2,0.6,2.4,26444389.0,46.92300000000015,10.481999999999925
2026-01-23T18:00+00:00,-2.8,78.03,0.6,2.4,26444389.0,46.92300000000015,10.481999999999925

