time,t2m [degree Celsius],rh2m [%],u10m [m s-1],v10m [m s-1],grad [Ws m-2],lat,lon
2026-01-22T00:00+00:00,-9.0,26.56,0.1,0.4,7437863.7,46.95900000000015,12.693999999999892
2026-01-22T01:00+00:00,-8.8,24.05,0.1,0.5,7437863.7,46.95900000000015,12.693999999999892
2026-01-22T02:00+00:00,-8.7,24.22,0.2,0.5,7437863.7,46.95900000000015,12.693999999999892
2026-01-22T03:00+00:00,-8.8,23.85,0.3,0.3,7437863.7,46.95900000000015,12.693999999999892
2026-01-22T04:00+00:00,-8.9,24.01,0.4,0.1,7437863.7,46.95900000000015,12.693999999999892
2026-01-22T05:00+00:00,-9.0,21.92,0.4,0.2,7437863.7,46.95900000000015,12.693999999999892
2026-01-22T06:00+00:00,-9.1,21.81,0.3,0.4,7437863.7,46.95900000000015,12.693999999999892
2026-01-22T07:00+00:00,-9.1,18.3,0.0,0.4,7442983.9,46.95900000000015,12.693999999999892
2026-01-22T08:00+00:00,-8.8,18.84,-0.1,0.1,7723320.0,46.95900000000015,12.693999999999892
2026-01-22T09:00+00:00,-8.1,16.89,-0.2,-0.3,8401758.7,46.95900000000015,12.693999999999892
2026-01-22T10:00+00:00,-7.6,16.97,-0.4,-0.6,9388695.0,46.95900000000015,12.693999999999892
2026-01-22T11:00+00:00,-7.4,16.84,-0.4,-0.5,10580443.1,46.95900000000015,12.693999999999892
2026-01-22T12:00+00:00,-7.3,16.69,-0.5,-0.4,11858596.1,46.95900000000015,12.693999999999892
2026-01-22T13:00+00:00,-7.1,17.6,-0.5,-0.4,13075305.6,46.95900000000015,12.693999999999892
2026-01-22T14:00+00:00,-7.1,17.92,-0.5,-0.4,14075042.7,46.95900000000015,12.693999999999892
2026-01-22T15:00+00:00,-7.7,25.55,-0.4,-0.4,14718919.4,46.95900000000015,12.693999999999892
2026-01-22T16:00+00:00,-8.2,35.7,-0.3,-0.4,14890449.2,46.95900000000015,12.693999999999892
2026-01-22T17:00+00:00,-8.3,37.83,-0.3,-0.4,14890449.2,46.95900000000015,12.693999999999892
2026-01-22T18:00+00:00,-8.3,38.88,-0.4,-0.4,14890449.2,46.95900000000015,12.693999999999892
2026-01-22T19:00+00:00,-8.4,39.96,-0.4,-0.4,14890449.2,46.95900000000015,12.693999999999892
2026-01-22T20:00+00:00,-8.6,39.46,-0.6,-0.3,14890449.2,46.95900000000015,12.693999999999892
2026-01-22T21:00+00:00,-8.7,37.68,-0.7,-0.1,14890449.2,46.95900000000015,12.693999999999892
2026-01-22T22:00+00:00,-8.8,34.75,-0.7,0.3,14890449.2,46.95900000000015,12.693999999999892
2026-01-22T23:00+00:00,-9.1,32.1,-0.6,0.3,14890449.2,46.95900000000015,12.693999999999892
2026-01-23T00:00+00:00,-9.3,31.25,-0.6,0.4,14890449.2,46.95900000000015,12.693999999999892
2026-01-23T01:00+00:00,-9.2,33.87,-0.5,0.5,14890449.2,46.95900000000015,12.693999999999892
2026-01-23T02:00+00:00,-9.0,37.81,-0.5,0.7,14890449.2,46.95900000000015,12.693999999999892
2026-01-23T03:00+00:00,-8.9,37.35,-0.3,0.7,14890449.2,46.95900000000015,12.693999999999892
2026-01-23T04:00+00:00,-8.8,37.09,0.0,0.8,14890449.2,46.95900000000015,12.693999999999892
2026-01-23T05:00+00:00,-8.5,37.22,0.2,0.9,14890449.2,46.95900000000015,12.693999999999892
2026-01-23T06:00+00:00,-8.1,40.09,0.4,1.1,14890449.2,46.95900000000015,12.693999999999892
2026-01-23T07:00+00:00,-8.0,45.36,0.6,1.3,14895569.5,46.95900000000015,12.693999999999892
2026-01-23T08:00+00:00,-7.9,49.32,0.6,1.5,15147103.9,46.95900000000015,12.693999999999892
2026-01-23T09:00+00:00,-7.8,53.44,0.6,1.5,15800581.2,46.95900000000015,12.693999999999892
2026-01-23T10:00+00:00,-7.6,58.17,0.8,1.9,16777277.0,46.95900000000015,12.693999999999892
2026-01-23T11:00+00:00,-7.4,63.12,1.1,2.4,17956864.3,46.95900000000015,12.693999999999892
2026-01-23T12:00+00:00,-7.2,70.34,1.4,2.7,19219016.4,46.95900000000015,12.693999999999892
2026-01-23T13:00+00:00,-7.1,76.79,1.4,2.3,20395403.6,46.95900000000015,12.693999999999892
2026-01-23T14:00+00:00,-7.2,78.9,1.2,1.8,21354818.3,46.95900000000015,12.693999999999892
2026-01-23T15:00+00:00,-7.4,77.97,1.2,1.6,21976933.9,46.95900000000015,12.693999999999892
2026-01-23T16:00+00:00,-7.8,80.32,0.9,1.4,22136303.0,46.95900000000015,12.693999999999892
2026-01-23T17:00+00:00,-7.9,82.75,0.3,1.2,22136303.0,46.95900000000015,12.693999999999892
2026-01-23T18:00+00:00,-7.8,83.76,0.1,1.5,22136303.0,46.95900000000015,12.693999999999892

