uid,name,date,sunrise_topo,sunset_topo,sun_hours_topo
501,Hochalmfall,2025-11-01,2025-11-01T06:36:11Z,2025-11-01T10:32:11Z,3.9499999999999997
501,Hochalmfall,2025-11-02,2025-11-02T06:36:41Z,2025-11-02T10:12:41Z,3.6166666666666667
501,Hochalmfall,2025-11-03,2025-11-03T06:36:11Z,2025-11-03T10:01:11Z,3.433333333333333
501,Hochalmfall,2025-11-04,2025-11-04T06:36:41Z,2025-11-04T09:51:41Z,3.2666666666666666
501,Hochalmfall,2025-11-05,2025-11-05T06:36:11Z,2025-11-05T09:43:11Z,3.1333333333333333
501,Hochalmfall,2025-11-06,2025-11-06T06:36:41Z,2025-11-06T09:38:41Z,2.9166666666666665
501,Hochalmfall,2025-11-07,2025-11-07T06:36:11Z,2025-11-07T09:34:11Z,2.1
501,Hochalmfall,2025-11-08,2025-11-08T06:36:41Z,2025-11-08T08:47:41Z,1.6
501,Hochalmfall,2025-11-09,2025-11-09T06:37:10Z,2025-11-09T08:35:10Z,1.2
501,Hochalmfall,2025-11-10,2025-11-10T06:37:40Z,2025-11-10T07:42:40Z,1.1
501,Hochalmfall,2025-11-11,2025-11-11T06:38:09Z,2025-11-11T07:40:09Z,1.05
501,Hochalmfall,2025-11-12,2025-11-12T06:37:39Z,2025-11-12T07:35:39Z,0.9833333333333333
501,Hochalmfall,2025-11-13,2025-11-13T06:38:08Z,2025-11-13T07:34:08Z,0.95
501,Hochalmfall,2025-11-14,2025-11-14T06:39:36Z,2025-11-14T07:32:36Z,0.9
501,Hochalmfall,2025-11-15,2025-11-15T06:40:04Z,2025-11-15T07:29:04Z,0.8333333333333334
501,Hochalmfall,2025-11-16,2025-11-16T06:40:32Z,2025-11-16T07:27:32Z,0.8
501,Hochalmfall,2025-11-17,2025-11-17T06:40:59Z,2025-11-17T07:24:59Z,0.75
501,Hochalmfall,2025-11-18,2025-11-18T06:41:26Z,2025-11-18T07:21:26Z,0.6833333333333333
501,Hochalmfall,2025-11-19,2025-11-19T06:41:52Z,2025-11-19T07:18:52Z,0.6333333333333333
501,Hochalmfall,2025-11-20,2025-11-20T06:42:17Z,2025-11-20T07:17:17Z,0.6
501,Hochalmfall,2025-11-21,2025-11-21T06:42:42Z,2025-11-21T07:12:42Z,0.5166666666666666
501,Hochalmfall,2025-11-22,2025-11-22T06:43:06Z,2025-11-22T07:09:06Z,0.45
501,Hochalmfall,2025-11-23,2025-11-23T06:43:28Z,2025-11-23T07:05:28Z,0.3833333333333333
501,Hochalmfall,2025-11-24,2025-11-24T06:44:50Z,2025-11-24T07:03:50Z,0.3333333333333333
501,Hochalmfall,2025-11-25,2025-11-25T06:49:11Z,2025-11-25T06:51:11Z,0.05
501,Hochalmfall,2025-11-26,NA,NA,0
501,Hochalmfall,2025-11-27,NA,NA,0
501,Hochalmfall,2025-11-28,NA,NA,0
501,Hochalmfall,2025-11-29,NA,NA,0
501,Hochalmfall,2025-11-30,NA,NA,0
501,Hochalmfall,2025-12-01,NA,NA,0
501,Hochalmfall,2025-12-02,NA,NA,0
501,Hochalmfall,2025-12-03,NA,NA,0
501,Hochalmfall,2025-12-04,NA,NA,0
501,Hochalmfall,2025-12-05,NA,NA,0
501,Hochalmfall,2025-12-06,NA,NA,0
501,Hochalmfall,2025-12-07,NA,NA,0
501,Hochalmfall,2025-12-08,NA,NA,0
501,Hochalmfall,2025-12-09,NA,NA,0
501,Hochalmfall,2025-12-10,NA,NA,0
501,Hochalmfall,2025-12-11,NA,NA,0
