time,t2m [degree Celsius],rh2m [%],u10m [m s-1],v10m [m s-1],grad [Ws m-2],lat,lon
2026-01-21T06:00+00:00,-8.5,49.11,-0.3,-0.3,,46.95900000000015,11.153999999999915
2026-01-21T07:00+00:00,-8.4,46.57,0.0,-0.1,639.0,46.95900000000015,11.153999999999915
2026-01-21T08:00+00:00,-8.0,40.82,0.0,-0.7,252173.3,46.95900000000015,11.153999999999915
2026-01-21T09:00+00:00,-8.0,41.57,-1.2,-0.2,937652.5,46.95900000000015,11.153999999999915
2026-01-21T10:00+00:00,-7.6,42.02,-1.6,-0.4,2043635.6,46.95900000000015,11.153999999999915
2026-01-21T11:00+00:00,-7.5,41.08,-1.4,-0.2,3458756.4,46.95900000000015,11.153999999999915
2026-01-21T12:00+00:00,-7.2,39.69,-1.4,-0.7,4999964.4,46.95900000000015,11.153999999999915
2026-01-21T13:00+00:00,-7.4,40.73,-1.3,-0.5,6461807.9,46.95900000000015,11.153999999999915
2026-01-21T14:00+00:00,-8.0,43.2,-0.6,0.1,7659316.3,46.95900000000015,11.153999999999915
2026-01-21T15:00+00:00,-8.4,42.85,-0.3,0.2,8442081.0,46.95900000000015,11.153999999999915
2026-01-21T16:00+00:00,-8.5,37.33,-0.3,0.5,8701295.8,46.95900000000015,11.153999999999915
2026-01-21T17:00+00:00,-8.6,34.3,-0.2,0.4,8701295.8,46.95900000000015,11.153999999999915
2026-01-21T18:00+00:00,-8.4,31.76,-0.2,0.4,8701295.8,46.95900000000015,11.153999999999915
2026-01-21T19:00+00:00,-8.4,27.41,-0.4,0.5,8701295.8,46.95900000000015,11.153999999999915
2026-01-21T20:00+00:00,-8.4,25.04,-0.5,0.5,8701295.8,46.95900000000015,11.153999999999915
2026-01-21T21:00+00:00,-8.7,24.58,-0.6,0.8,8701295.8,46.95900000000015,11.153999999999915
2026-01-21T22:00+00:00,-8.7,24.99,-0.7,1.0,8701295.8,46.95900000000015,11.153999999999915
2026-01-21T23:00+00:00,-8.7,27.77,-0.8,1.6,8701295.8,46.95900000000015,11.153999999999915
2026-01-22T00:00+00:00,-8.9,30.73,-0.6,2.0,8701295.8,46.95900000000015,11.153999999999915
2026-01-22T01:00+00:00,-9.1,32.66,-0.4,2.1,8701295.8,46.95900000000015,11.153999999999915
2026-01-22T02:00+00:00,-9.1,31.16,-0.2,1.8,8701295.8,46.95900000000015,11.153999999999915
2026-01-22T03:00+00:00,-9.1,27.92,-0.1,1.2,8701295.8,46.95900000000015,11.153999999999915
2026-01-22T04:00+00:00,-9.0,24.7,0.3,0.4,8701295.8,46.95900000000015,11.153999999999915
2026-01-22T05:00+00:00,-8.8,25.26,1.0,-0.9,8701295.8,46.95900000000015,11.153999999999915
2026-01-22T06:00+00:00,-9.0,24.22,0.6,-1.7,8701295.8,46.95900000000015,11.153999999999915
2026-01-22T07:00+00:00,-9.3,27.3,0.4,-1.6,8701935.8,46.95900000000015,11.153999999999915
2026-01-22T08:00+00:00,-9.4,26.83,0.2,-1.2,8969471.1,46.95900000000015,11.153999999999915
2026-01-22T09:00+00:00,-9.4,25.54,-0.1,-0.8,9677991.6,46.95900000000015,11.153999999999915
2026-01-22T10:00+00:00,-9.2,25.1,-0.4,-0.3,10813416.4,46.95900000000015,11.153999999999915
2026-01-22T11:00+00:00,-9.0,25.69,-0.2,-0.1,12261179.1,46.95900000000015,11.153999999999915
2026-01-22T12:00+00:00,-8.6,25.11,0.0,-0.1,13834388.9,46.95900000000015,11.153999999999915
2026-01-22T13:00+00:00,-8.4,23.95,0.5,-0.7,15325674.1,46.95900000000015,11.153999999999915
2026-01-22T14:00+00:00,-8.6,26.35,0.6,-1.0,16547503.8,46.95900000000015,11.153999999999915
2026-01-22T15:00+00:00,-8.9,30.98,0.7,-1.0,17348189.6,46.95900000000015,11.153999999999915
2026-01-22T16:00+00:00,-9.3,34.91,0.5,-0.6,17619565.0,46.95900000000015,11.153999999999915
2026-01-22T17:00+00:00,-9.5,34.94,0.3,-0.1,17619565.0,46.95900000000015,11.153999999999915
2026-01-22T18:00+00:00,-9.7,35.04,0.2,0.1,17619565.0,46.95900000000015,11.153999999999915
2026-01-22T19:00+00:00,-9.8,38.6,0.1,0.3,17619565.0,46.95900000000015,11.153999999999915
2026-01-22T20:00+00:00,-9.9,40.51,0.1,0.6,17619565.0,46.95900000000015,11.153999999999915
2026-01-22T21:00+00:00,-10.0,38.05,-0.1,0.9,17619565.0,46.95900000000015,11.153999999999915
2026-01-22T22:00+00:00,-10.0,34.27,-0.3,1.1,17619565.0,46.95900000000015,11.153999999999915
2026-01-22T23:00+00:00,-9.9,36.56,-0.2,1.2,17619565.0,46.95900000000015,11.153999999999915
2026-01-23T00:00+00:00,-9.8,33.8,0.0,1.5,17619565.0,46.95900000000015,11.153999999999915
2026-01-23T01:00+00:00,-9.7,40.88,0.1,1.9,17619565.0,46.95900000000015,11.153999999999915
2026-01-23T02:00+00:00,-10.0,49.19,0.3,2.3,17619565.0,46.95900000000015,11.153999999999915
2026-01-23T03:00+00:00,-10.4,56.34,0.4,2.6,17619565.0,46.95900000000015,11.153999999999915
2026-01-23T04:00+00:00,-10.2,59.39,0.4,2.8,17619565.0,46.95900000000015,11.153999999999915
2026-01-23T05:00+00:00,-10.3,65.19,0.3,3.0,17619565.0,46.95900000000015,11.153999999999915
2026-01-23T06:00+00:00,-10.8,74.1,0.1,3.4,17619565.0,46.95900000000015,11.153999999999915
2026-01-23T07:00+00:00,-11.3,81.43,0.3,4.5,17620205.1,46.95900000000015,11.153999999999915
2026-01-23T08:00+00:00,-11.5,90.73,0.8,5.1,17813496.1,46.95900000000015,11.153999999999915
2026-01-23T09:00+00:00,-11.5,99.89,0.8,5.6,18421530.8,46.95900000000015,11.153999999999915
2026-01-23T10:00+00:00,-11.4,100.0,0.9,5.5,19530714.2,46.95900000000015,11.153999999999915
2026-01-23T11:00+00:00,-11.1,100.0,0.7,5.1,20931114.1,46.95900000000015,11.153999999999915
2026-01-23T12:00+00:00,-10.8,100.0,0.7,4.8,22429439.7,46.95900000000015,11.153999999999915
2026-01-23T13:00+00:00,-10.7,100.0,1.0,4.8,23861841.5,46.95900000000015,11.153999999999915
2026-01-23T14:00+00:00,-10.5,100.0,1.6,4.9,24987025.7,46.95900000000015,11.153999999999915

