uid,name,latitude,longitude,source_aspect_deg,aspect_cardinal,preferred_aspect_deg,elev_m,difficulty,height_hint_m,dem_source,dem_resolution_m,line_status,route_point_count,route_length_m,route_drop_m,route_bearing_deg,slope_mean_deg,slope_p90_deg,slope_max_deg,aspect_agreement,steep_continuity,dem_resolution_factor,route_length_factor,route_confidence,confinement_index,topo_support_index,convexity_index,unsupported_steep_fraction,support_score,collapse_risk_score,qa_flag,qa_note
1,Mannerschnitte,47.18785309,10.91448647,272,W,272,967.0927,WI5-/M4,,DOM_Oetztal_50cm,0.5,ok,29,165.60566732574492,80.75286865234375,274.1446237411043,70.63780695816567,83.69669545491536,84.97337341308594,0.9761708473210636,0.9655172413793104,1.1,1,1.0001235113422189,0.780847132891074,0.6397069418792427,0.0550532279908657,0.10344827586206896,78.99524720864139,21.004752791358612,,
2,Baselayer,47.18157945,10.92174323,15,N,15,1357.105,WI4/M5,300,DOM_Oetztal_50cm,0.5,ok,12,106.7149671788694,96.6424560546875,48.68514665515579,40.353219985961914,49.88544362386068,52.06622314453125,0.6257205927204912,0.8333333333333334,1.1,0.6669685448679338,0.7869850915749899,0.2441007826063368,0.49836067556163943,0.0036278982006479,0,53.37099414231319,46.62900585768681,,
3,Zapfenstreich,47.1814644,10.90196581,15,N,15,982.8725,M9,,DOM_Oetztal_50cm,0.5,ok,30,143.65399120725155,29.1578369140625,9.713251024940291,69.0240084330241,85.87429428100586,86.31444549560547,0.9412583447215588,0.9666666666666668,1.1,0.8978374450453221,0.9762870823931558,0.9524703979492188,0.5084964000248662,0.02855935713483227,0.03333333333333333,84.66905743230653,15.33094256769347,,
4,Zwei Welten,47.1814644,10.90196581,107,E,107,982.8725,WI4/M8,,DOM_Oetztal_50cm,0.5,ok,36,205.97259897866735,206.1708984375,90.87068949843432,64.9561890496148,79.02085393269856,83.174102783203125,0.8207854388714926,0.9722222222222222,1.1,1,0.9399808422152636,0.76535797119140625,0.5276630557838506,0.02560243000172906,0.16666666666666666,75.4539698315083,24.546030168491697,,
6,Kalte Dusche,47.17457496,10.91958106,15,N,15,1205.655,WI5,,DOM_Oetztal_50cm,0.5,ok,7,19.745833195369695,33.791015625,352.64762064010756,71.48473521641323,85.10001373291016,85.25657653808594,0.7516402293345285,0.8571428571428571,1.1,0.1234114574710606,0.7901400946237747,1,0.4588638082687036,0.07269400783947536,0,85.01771504992809,14.982284950071914,,
7,Sibirien,47.17457496,10.91958106,273,W,273,1205.655,WI6/M6,,DOM_Oetztal_50cm,0.5,ok,28,188.79177575033285,210.3963623046875,274.7636416907262,71.86304112843105,85.27834574381511,87.1723403930664,0.9804039812141532,0.9642857142857144,1.1,1,1.0014473067713756,0.777297610328311,0.4973831523039741,0.052435244965766153,0.21428571428571427,74.22140923020089,25.77859076979911,,
8,Vorsaison,47.17457496,10.91958106,15,N,15,1205.655,WI5+/M6-,,DOM_Oetztal_50cm,0.5,ok,7,19.745833195369695,33.791015625,352.64762064010756,71.48473521641323,85.10001373291016,85.25657653808594,0.7516402293345285,0.8571428571428571,1.1,0.1234114574710606,0.7901400946237747,1,0.4588638082687036,0.07269400783947536,0,85.01771504992809,14.982284950071914,,
9,Golden Shower,47.15611614,10.9050394,15,N,15,1106.608,WI6,,DOM_Oetztal_50cm,0.5,ok,18,79.83794185899573,53.920166015625,41.63353933657021,66.21638573540582,82.28991317749023,83.07928466796875,0.70407178514922,1,1.1,0.49898713661872335,0.8515274277215604,0.8716131139684606,0.5630640339388557,0.06057368660414661,0.05555555555555555,81.53216168941364,18.46783831058636,,
10,Reichalm Fall,47.16324699,10.94194281,188,S,188,1613.538,WI5,,DOM_Oetztal_50cm,0.5,ok,9,77.03635282837459,110.8214111328125,189.39823299592604,48.34324010213216,66.78980763753255,68.02156829833984,0.984464077823044,0.7777777777777778,1.1,0.4814772051773411,0.895266684980285,0.7546205873842593,0.5836081174096018,0.01074791782432132,0,78.3331710110453,21.666828988954705,,
11,Dripping Elegance,47.12597744,10.90943499,115,SE,115,1772.868,WI5+/M10,,DOM_Oetztal_50cm,0.5,ok,15,77.56013155037849,75.8896484375,99.24611274556328,63.68331387837728,81.49956512451172,82.13135528564453,0.8249568082840363,0.8666666666666667,1.1,0.48475082218986554,0.8584578055326011,0.7699612087673611,0.4966135657475589,0.02061188510722584,0,76.6513558360757,23.348644163924305,,
