time,UU [m s-1],VV [m s-1],GL [W m-2],lat,lon
2025-10-01T00:00+00:00,2.42,-2.03,0.0,47.542286,12.628335
2025-10-01T01:00+00:00,1.31,-2.33,0.0,47.542286,12.628335
2025-10-01T02:00+00:00,-0.06,-2.8,0.0,47.542286,12.628335
2025-10-01T03:00+00:00,-0.99,-4.02,0.0,47.542286,12.628335
2025-10-01T04:00+00:00,0.28,-5.02,0.0,47.542286,12.628335
2025-10-01T05:00+00:00,-0.29,-4.57,0.0,47.542286,12.628335
2025-10-01T06:00+00:00,-1.5,-4.29,105.87,47.542286,12.628335
2025-10-01T07:00+00:00,-3.86,-4.96,221.58,47.542286,12.628335
2025-10-01T08:00+00:00,-3.97,-4.32,410.54,47.542286,12.628335
2025-10-01T09:00+00:00,-3.98,-3.47,547.5,47.542286,12.628335
2025-10-01T10:00+00:00,-3.36,-2.31,488.81,47.542286,12.628335
2025-10-01T11:00+00:00,-2.58,-2.07,682.1,47.542286,12.628335
2025-10-01T12:00+00:00,-2.79,-1.34,517.54,47.542286,12.628335
2025-10-01T13:00+00:00,-2.98,-1.48,379.69,47.542286,12.628335
2025-10-01T14:00+00:00,-3.6,-2.59,315.48,47.542286,12.628335
2025-10-01T15:00+00:00,-3.19,-3.96,253.69,47.542286,12.628335
2025-10-01T16:00+00:00,-3.45,-4.31,119.54,47.542286,12.628335
2025-10-01T17:00+00:00,-3.16,-5.39,0.0,47.542286,12.628335
2025-10-01T18:00+00:00,-2.57,-5.78,0.0,47.542286,12.628335
2025-10-01T19:00+00:00,-3.56,-5.12,0.0,47.542286,12.628335
2025-10-01T20:00+00:00,-3.1,-4.72,0.0,47.542286,12.628335
2025-10-01T21:00+00:00,-2.8,-4.46,0.0,47.542286,12.628335
2025-10-01T22:00+00:00,-2.32,-4.31,0.0,47.542286,12.628335
2025-10-01T23:00+00:00,-2.44,-4.5,0.0,47.542286,12.628335
2025-10-02T00:00+00:00,-4.08,-3.48,0.0,47.542286,12.628335
2025-10-02T01:00+00:00,-3.94,-3.54,0.0,47.542286,12.628335
2025-10-02T02:00+00:00,-3.95,-4.16,0.0,47.542286,12.628335
2025-10-02T03:00+00:00,-5.15,-3.87,0.0,47.542286,12.628335
2025-10-02T04:00+00:00,-3.8,-3.6,0.0,47.542286,12.628335
2025-10-02T05:00+00:00,-4.04,-3.83,0.0,47.542286,12.628335
2025-10-02T06:00+00:00,-4.85,-3.56,88.63,47.542286,12.628335
2025-10-02T07:00+00:00,-6.25,-4.23,230.59,47.542286,12.628335
2025-10-02T08:00+00:00,-7.12,-2.08,207.76,47.542286,12.628335
2025-10-02T09:00+00:00,-7.2,-1.94,253.11,47.542286,12.628335
2025-10-02T10:00+00:00,-6.36,-2.22,323.29,47.542286,12.628335
2025-10-02T11:00+00:00,-4.74,-1.41,359.02,47.542286,12.628335
2025-10-02T12:00+00:00,-3.86,-1.31,365.24,47.542286,12.628335
2025-10-02T13:00+00:00,-4.09,-1.11,218.84,47.542286,12.628335
2025-10-02T14:00+00:00,-4.03,-1.57,105.14,47.542286,12.628335
2025-10-02T15:00+00:00,-3.13,-2.78,88.98,47.542286,12.628335
2025-10-02T16:00+00:00,-3.16,-2.73,71.31,47.542286,12.628335
2025-10-02T17:00+00:00,-2.9,-3.38,0.0,47.542286,12.628335
2025-10-02T18:00+00:00,-2.74,-4.49,0.0,47.542286,12.628335
2025-10-02T19:00+00:00,-3.81,-5.41,0.0,47.542286,12.628335
2025-10-02T20:00+00:00,-4.42,-4.61,0.0,47.542286,12.628335
2025-10-02T21:00+00:00,-2.92,-3.32,0.0,47.542286,12.628335
2025-10-02T22:00+00:00,-3.32,-3.14,0.0,47.542286,12.628335
2025-10-02T23:00+00:00,-3.86,-2.72,0.0,47.542286,12.628335
2025-10-03T00:00+00:00,-2.38,-1.52,0.0,47.542286,12.628335
2025-10-03T01:00+00:00,-3.82,-1.5,0.0,47.542286,12.628335
2025-10-03T02:00+00:00,-3.6,-1.54,0.0,47.542286,12.628335
2025-10-03T03:00+00:00,-2.99,-0.33,0.0,47.542286,12.628335
2025-10-03T04:00+00:00,-2.48,-0.16,0.0,47.542286,12.628335
2025-10-03T05:00+00:00,-0.42,-1.77,0.0,47.542286,12.628335
2025-10-03T06:00+00:00,-0.82,-2.06,106.11,47.542286,12.628335
2025-10-03T07:00+00:00,-0.66,-1.8,262.05,47.542286,12.628335
2025-10-03T08:00+00:00,-0.87,-1.57,419.71,47.542286,12.628335
2025-10-03T09:00+00:00,-0.04,-0.54,554.18,47.542286,12.628335
2025-10-03T10:00+00:00,0.35,-0.86,640.48,47.542286,12.628335
2025-10-03T11:00+00:00,1.73,-0.09,670.62,47.542286,12.628335
2025-10-03T12:00+00:00,1.9,-1.33,649.77,47.542286,12.628335
2025-10-03T13:00+00:00,2.42,-2.51,575.92,47.542286,12.628335
2025-10-03T14:00+00:00,3.54,-2.16,455.02,47.542286,12.628335
2025-10-03T15:00+00:00,3.47,-2.66,290.99,47.542286,12.628335
2025-10-03T16:00+00:00,4.02,-2.14,111.03,47.542286,12.628335
2025-10-03T17:00+00:00,4.32,-2.94,0.0,47.542286,12.628335
2025-10-03T18:00+00:00,4.53,-3.13,0.0,47.542286,12.628335
2025-10-03T19:00+00:00,5.15,-2.72,0.0,47.542286,12.628335
2025-10-03T20:00+00:00,5.87,-3.76,0.0,47.542286,12.628335
2025-10-03T21:00+00:00,5.07,-2.78,0.0,47.542286,12.628335
2025-10-03T22:00+00:00,6.01,-3.07,0.0,47.542286,12.628335
2025-10-03T23:00+00:00,7.04,-0.58,0.0,47.542286,12.628335
2025-10-04T00:00+00:00,7.89,-1.38,0.0,47.542286,12.628335
2025-10-04T01:00+00:00,8.71,-2.41,0.0,47.542286,12.628335
2025-10-04T02:00+00:00,7.33,-3.7,0.0,47.542286,12.628335
2025-10-04T03:00+00:00,7.11,-3.34,0.0,47.542286,12.628335
2025-10-04T04:00+00:00,8.65,-2.51,0.0,47.542286,12.628335
2025-10-04T05:00+00:00,8.46,-2.38,0.0,47.542286,12.628335
2025-10-04T06:00+00:00,7.45,-1.76,69.92,47.542286,12.628335
2025-10-04T07:00+00:00,7.26,-2.06,140.12,47.542286,12.628335
2025-10-04T08:00+00:00,8.6,-2.21,102.47,47.542286,12.628335
2025-10-04T09:00+00:00,9.22,-1.36,97.91,47.542286,12.628335
2025-10-04T10:00+00:00,11.94,-0.68,179.29,47.542286,12.628335
2025-10-04T11:00+00:00,13.55,-0.3,309.9,47.542286,12.628335
2025-10-04T12:00+00:00,15.21,1.82,595.65,47.542286,12.628335
2025-10-04T13:00+00:00,15.56,2.64,536.28,47.542286,12.628335
2025-10-04T14:00+00:00,14.04,2.06,300.78,47.542286,12.628335
2025-10-04T15:00+00:00,13.0,3.88,148.72,47.542286,12.628335
2025-10-04T16:00+00:00,7.05,2.32,33.5,47.542286,12.628335
2025-10-04T17:00+00:00,2.82,-1.09,0.0,47.542286,12.628335
2025-10-04T18:00+00:00,8.96,-6.0,0.0,47.542286,12.628335
2025-10-04T19:00+00:00,9.57,-9.8,0.0,47.542286,12.628335
2025-10-04T20:00+00:00,16.1,-4.89,0.0,47.542286,12.628335
2025-10-04T21:00+00:00,14.48,-6.22,0.0,47.542286,12.628335
2025-10-04T22:00+00:00,13.35,-3.24,0.0,47.542286,12.628335
2025-10-04T23:00+00:00,11.16,-2.07,0.0,47.542286,12.628335
2025-10-05T00:00+00:00,10.92,-2.07,0.0,47.542286,12.628335
2025-10-05T01:00+00:00,9.12,-2.08,0.0,47.542286,12.628335
2025-10-05T02:00+00:00,9.39,-0.56,0.0,47.542286,12.628335
2025-10-05T03:00+00:00,7.78,-2.22,0.0,47.542286,12.628335
2025-10-05T04:00+00:00,7.86,-3.77,0.0,47.542286,12.628335
2025-10-05T05:00+00:00,8.32,-2.6,0.0,47.542286,12.628335
2025-10-05T06:00+00:00,6.63,-3.71,14.3,47.542286,12.628335
2025-10-05T07:00+00:00,7.74,-4.27,47.39,47.542286,12.628335
2025-10-05T08:00+00:00,6.41,-4.72,100.5,47.542286,12.628335
2025-10-05T09:00+00:00,7.13,-2.28,111.75,47.542286,12.628335
2025-10-05T10:00+00:00,7.59,-2.43,195.15,47.542286,12.628335
2025-10-05T11:00+00:00,9.45,-2.69,411.66,47.542286,12.628335
2025-10-05T12:00+00:00,6.61,-2.14,265.22,47.542286,12.628335
2025-10-05T13:00+00:00,7.97,-3.95,202.56,47.542286,12.628335
2025-10-05T14:00+00:00,8.13,-4.24,111.06,47.542286,12.628335
2025-10-05T15:00+00:00,8.01,-3.22,76.28,47.542286,12.628335
2025-10-05T16:00+00:00,11.1,-2.72,34.23,47.542286,12.628335
2025-10-05T17:00+00:00,8.71,-4.41,0.0,47.542286,12.628335
2025-10-05T18:00+00:00,9.97,-5.58,0.0,47.542286,12.628335
2025-10-05T19:00+00:00,8.39,-5.37,0.0,47.542286,12.628335
2025-10-05T20:00+00:00,9.18,-8.87,0.0,47.542286,12.628335
2025-10-05T21:00+00:00,6.88,-7.22,0.0,47.542286,12.628335
2025-10-05T22:00+00:00,6.78,-7.54,0.0,47.542286,12.628335
2025-10-05T23:00+00:00,4.82,-6.4,0.0,47.542286,12.628335
2025-10-06T00:00+00:00,9.12,-6.32,0.0,47.542286,12.628335
2025-10-06T01:00+00:00,8.3,-6.21,0.0,47.542286,12.628335
2025-10-06T02:00+00:00,9.44,-6.71,0.0,47.542286,12.628335
2025-10-06T03:00+00:00,7.97,-6.42,0.0,47.542286,12.628335
2025-10-06T04:00+00:00,7.47,-6.22,0.0,47.542286,12.628335
2025-10-06T05:00+00:00,8.34,-6.46,0.0,47.542286,12.628335
2025-10-06T06:00+00:00,9.62,-6.39,14.28,47.542286,12.628335
2025-10-06T07:00+00:00,10.05,-7.34,56.98,47.542286,12.628335
2025-10-06T08:00+00:00,10.65,-5.82,83.1,47.542286,12.628335
2025-10-06T09:00+00:00,10.12,-5.92,210.41,47.542286,12.628335
2025-10-06T10:00+00:00,9.2,-5.2,153.33,47.542286,12.628335
2025-10-06T11:00+00:00,11.21,-4.11,137.3,47.542286,12.628335
2025-10-06T12:00+00:00,11.87,-4.13,153.79,47.542286,12.628335
2025-10-06T13:00+00:00,8.03,-4.63,130.19,47.542286,12.628335
2025-10-06T14:00+00:00,8.37,-5.54,114.13,47.542286,12.628335
2025-10-06T15:00+00:00,8.32,-5.92,57.59,47.542286,12.628335
2025-10-06T16:00+00:00,7.12,-6.6,21.99,47.542286,12.628335
2025-10-06T17:00+00:00,5.39,-6.83,0.0,47.542286,12.628335
2025-10-06T18:00+00:00,6.88,-6.9,0.0,47.542286,12.628335
2025-10-06T19:00+00:00,5.93,-7.96,0.0,47.542286,12.628335
2025-10-06T20:00+00:00,5.84,-7.56,0.0,47.542286,12.628335
2025-10-06T21:00+00:00,5.8,-7.6,0.0,47.542286,12.628335
2025-10-06T22:00+00:00,4.21,-6.78,0.0,47.542286,12.628335
2025-10-06T23:00+00:00,4.75,-6.9,0.0,47.542286,12.628335
2025-10-07T00:00+00:00,4.1,-6.72,0.0,47.542286,12.628335
2025-10-07T01:00+00:00,3.42,-6.9,0.0,47.542286,12.628335
2025-10-07T02:00+00:00,4.37,-6.84,0.0,47.542286,12.628335
2025-10-07T03:00+00:00,2.91,-5.89,0.0,47.542286,12.628335
2025-10-07T04:00+00:00,3.4,-5.86,0.0,47.542286,12.628335
2025-10-07T05:00+00:00,3.12,-5.11,0.0,47.542286,12.628335
2025-10-07T06:00+00:00,1.72,-5.33,37.9,47.542286,12.628335
