"station_id","name","lon","lat","altitude_m","source","sh","tl","oft_lwd","td_lwd","rf","ff","dd","ffx","cglo","gsu_lwd","rr","p","chim","ddx","ffam","pred","rrm","so","tb10","tb20","tb50","tlmax","tlmin","ts","tsmax","tsmin","zeitx","LWD.Region","plot"
"NASS2","Nassereither Alm",10.849554,47.344376,1750,"LWD",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-03 Mieminger Gebirge","nassereith"
"IMOS2","Mosesgipfel Schneestation",12.3227777777778,46.8175,2235,"LWD",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-27 Deferegger Alpen Ost","mosesgipfel"
"TRAU1","Hohe Munde Windstation",11.083694,47.346612,2585,"LWD",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-03 Mieminger Gebirge","rauthhuette"
"KSIN1","Kappl Kapplerkopf",10.325499,47.060638,2403,"LWD",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-11 Verwallgruppe Ost","kappl"
"GJAM1","Westliches Gamshorn",10.190435,46.896034,2997,"LWD",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-12 Silvretta Ost","jamtalhuette_gamshorn"
"FURG2","Fiss Urgtal Schneestation",10.5731347,47.0878037,1855,"LWD",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-13 Samnaungruppe","fiss_urgtal"
"BJOE1","Jöchelspitze Windstation",10.359234,47.281714,2226,"LWD",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-01 Allgäuer Alpen Ost","joechelspitze"
"IMUT2","Muttekopfhütte",10.6688387774755,47.2619589979091,1935,"LWD",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-02-02 Lechtaler Alpen Ost","muttekopfhuette"
"SLBU2","Burgbach Mauchele",10.7950000100758,47.1000000304375,2097,"LWD",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-14-01 Kaunergrat","burgbach"
"GPRE2","Predigberg Schneestation",10.216496,46.963487,2354,"LWD",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-12 Silvretta Ost","predigberg"
"SLAG1","Agetwoad",10.862306,47.069889,2330,"LWD",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-14-02 Kühtai - Geigenkamm","agetwoad"
"LPUI1","Gehrenspitze",11.133717,47.387131,2350,"LWD",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-03 Mieminger Gebirge","puitegg"
"SKAP2","Kapall Schneestation",10.2587777777778,47.1474888888889,2098,"LWD",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-07 Lechtaler Alpen West","kapall"
"SKAP1","Kapall Windstation",10.2479416666667,47.1490805555556,2332,"LWD",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-07 Lechtaler Alpen West","kapall"
"EERF1","Dalfazkamm",11.751511,47.448514,2140,"LWD",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-05 Brandenberger Alpen","erfurterhuette"
"KSIN2","Kappl Sinsenergampen",10.340337,47.060636,2012,"LWD",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AT-07-11 Verwallgruppe Ost","kappl"
